Membership No  Date Joined  Active  
    48405      2015-4-18    yes   
    33570      2019-6-12    no    
    78131      2016-3-10    yes   
    92665      2015-1-4     yes   
    31163      2018-7-24    yes   
    14099      2020-2-4     yes   
    59045      2018-10-15   no    
    47424      2019-6-15    no    
    95965      2017-4-16    no    
    61756      2019-12-23   no    
    58195      2018-6-7     no    
    62465      2016-2-20    yes   
    35263      2017-11-22   no    
    97244      2018-2-11    no    
    35677      2019-3-5     no    
    48922      2015-1-23    no    
    93962      2017-3-23    no    
    21274      2017-2-15    yes   
    47280      2018-11-23   no    
    69791      2020-9-3     no    
