Membership No  Date Joined  Active  
    20709      2015-2-16    no    
    44975      2017-10-5    no    
    37598      2017-6-20    no    
    33570      2019-6-12    no    
    59045      2018-10-15   no    
    47424      2019-6-15    no    
    95965      2017-4-16    no    
    61756      2019-12-23   no    
    58195      2018-6-7     no    
    35263      2017-11-22   no    
    97244      2018-2-11    no    
    35677      2019-3-5     no    
    48922      2015-1-23    no    
    93962      2017-3-23    no    
    47280      2018-11-23   no    
    69791      2020-9-3     no    
